0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0 0
37 0 0
38 0 0
39 0 0
40 0 0
41 0 0
42 0 0
43 0 0
44 0 0
45 0 0
46 0 0
47 0 0
48 0 0
49 0 0
50 0 0
51 0 0
52 0 0
53 0 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
71 0 0
72 0 0
73 0 0
74 0 0
75 0 0
76 0 0
77 0 0
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
101 0 0
102 0 0
103 0 0
104 0 0
105 0 0
106 0 0
107 0 0
108 0 0
109 0 0
110 0 0
111 0 0
112 0 0
113 0 0
114 0 0
115 0 0
116 0 0
117 0 0
118 0 0
119 0 0
120 0 0
121 0 0
122 0 0
123 0 0
124 0 0
125 0 0
126 0 0
127 0 0
128 0 0
129 0 0
130 0 0
131 0 0
132 0 0
133 0 0
134 0 0
135 0 0
136 0 0
137 0 0
138 0 0
139 0 0
140 0 0
141 0 0
142 0 0
143 0 0
144 0 0
145 0 0
146 0 0
147 0 0
148 0 0
149 0 0
150 0 0
151 0 0
152 0 0
153 0 0
154 0 0
155 0 0
156 0 0
157 0 0
158 0 0
159 0 0
160 0 0
161 0 0
162 0 0
163 0 0
164 0 0
165 0 0
166 0 0
167 0 0
168 0 0
169 0 0
170 0 0
171 0 0
172 0 0
173 0 0
174 0 0
175 0 0
176 0 0
177 0 0
178 0 0
179 0 0
180 0 0
181 0 0
182 0 0
183 0 0
184 0 0
185 0 0
186 0 0
187 0 0
188 0 0
189 0 0
190 0 0
191 0 0
192 0 0
193 0 0
194 0 0
195 0 0
196 0 0
197 0 0
198 0 0
199 0 0
200 0 0
201 0 0
202 0 0
203 0 0
204 0 0
205 0 0
206 0 0
207 0 0
208 0 0
209 0 0
210 0 0
211 0 0
212 0 0
213 0 0
214 0 0
215 0 0
216 0 0
217 0 0
218 0 0
219 0 0
220 0 0
221 0 0
222 0 0
223 0 0
224 0 0
225 0 0
226 0 0
227 0 0
228 0 0
229 0 0
230 0 0
231 0 0
232 0 0
233 0 0
234 0 0
235 0 0
236 0 0
237 0 0
238 0 0
239 0 0
240 0 0
241 0 0
242 0 0
243 0 0
244 0 0
245 0 0
246 0 0
247 0 0
248 0 0
249 0 0
250 0 0
251 0 0
252 0 0
253 0 0
254 0 0
255 0 0
256 0 0
257 0 0
258 0 0
259 0 0
260 0 0
261 0 0
262 0 0
263 0 0
264 0 0
265 0 0
266 0 0
267 0 0
268 0 0
269 0 0
270 0 0
271 0 0
272 0 0
273 0 0
274 0 0
275 0 0
276 0 0
277 0 0
278 0 0
279 0 0
280 0 0
281 0 0
282 0 0
283 0 0
284 0 0
285 0 0
286 0 0
287 0 0
288 0 0
289 0 0
290 0 0
291 0 0
292 0 0
293 0 0
294 0 0
295 0 0
296 0 0
297 0 0
298 0 0
299 0 0
300 0 0
301 0 0
302 0 0
303 0 0
304 0 0
305 0 0
306 0 0
307 0 0
308 0 0
309 0 0
310 0 0
311 0 0
312 0 0
313 0 0
314 0 0
315 0 0
316 0 0
317 0 0
318 0 0
319 0 0
320 0 0
321 0 0
322 0 0
323 0 0
324 0 0
325 0 0
326 0 0
327 0 0
328 0 0
329 0 0
330 0 0
331 0 0
332 0 0
333 0 0
334 0 0
335 0 0
336 0 0
337 0 0
338 0 0
339 0 0
340 0 0
341 0 0
342 0 0
343 0 0
344 0 0
345 0 0
346 0 0
347 0 0
348 0 0
349 0 0
350 0 0
351 0 0
352 0 0
353 0 0
354 0 0
355 0 0
356 0 0
357 0 0
358 0 0
359 0 0
360 0 0
361 0 0
362 0 0
363 0 0
364 0 0
365 0 0
366 0 0
367 0 0
368 0 0
369 0 0
370 0 0
371 0 0
372 0 0
373 0 0
374 0 0
375 0 0
376 0 0
377 0 0
378 0 7
379 0 13
380 0 13
381 0 13
382 0 13
383 0 13
384 0 13
385 0 13
386 0 13
387 0 13
388 0 13
389 0 13
390 0 13
391 0 13
392 0 13
393 0 13
394 0 13
395 0 13
396 0 13
397 0 13
398 0 13
399 0 13
400 0 13
401 0 13
402 0 13
403 0 13
404 0 13
405 0 13
406 0 13
407 0 12
408 0 12
409 0 12
410 0 12
411 0 12
412 0 12
413 0 12
414 0 12
415 0 12
416 0 11
417 0 11
418 0 11
419 0 11
420 0 11
421 0 11
422 0 11
423 0 11
424 0 11
425 0 11
426 0 11
427 0 11
428 0 11
429 0 11
430 0 11
431 0 10
432 0 10
433 0 10
434 0 10
435 0 10
436 0 10
437 0 10
438 0 10
439 0 10
440 0 10
441 0 10
442 0 10
443 0 10
444 0 10
445 0 10
446 0 10
447 0 10
448 0 10
449 0 10
450 0 10
451 0 10
452 0 10
453 0 10
454 0 10
455 0 10
456 0 9
457 0 9
458 0 9
459 0 9
460 0 9
461 0 9
462 0 9
463 0 9
464 0 9
465 0 9
466 0 9
467 0 9
468 0 9
469 0 9
470 0 9
471 0 9
472 0 9
473 0 9
474 0 9
475 0 9
476 0 9
477 0 9
478 0 9
479 0 9
480 0 9
481 0 9
482 0 9
483 0 9
484 0 9
485 0 9
486 0 9
487 0 9
488 0 9
489 0 9
490 0 9
491 0 9
492 0 9
493 0 9
494 0 9
495 0 9
496 0 9
497 0 9
498 0 9
499 0 9
500 0 9
501 0 9
502 0 9
503 0 9
504 0 9
505 0 9
506 0 9
507 0 9
508 0 9
509 0 9
510 0 9
511 0 9
512 0 9
513 0 9
514 0 9
515 0 9
516 0 9
517 0 9
518 0 9
519 0 9
520 0 8
521 0 8
522 0 8
523 0 8
524 0 8
525 0 8
526 0 8
527 0 8
528 0 8
529 0 8
530 0 8
531 0 8
532 0 8
533 0 8
534 0 8
535 0 8
536 0 8
537 0 8
538 0 8
539 0 8
540 0 8
541 0 8
542 0 8
543 0 8
544 0 8
545 0 8
546 0 8
547 0 8
548 0 8
549 0 8
550 0 8
551 0 8
552 0 8
553 0 8
554 0 8
555 0 8
556 0 8
557 0 8
558 0 11
559 0 11
560 0 11
561 0 11
562 0 11
563 0 11
564 0 11
565 0 11
566 0 11
567 0 11
568 0 11
569 0 11
570 0 10
571 0 10
572 0 10
